acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ori_x,ori_y,ori_z,ori_w,orie_x,orie_y,orie_z
0.281738,0.0224609,0.959473,-1.875,-1.3125,-0.25,-0.0238037,-0.13739,-0.25177,0.957642,0.0245401,-0.278722,-0.517573
0.272949,0.034668,0.959473,-0.5625,-0.1875,0.6875,-0.0237427,-0.137451,-0.25177,0.957642,0.0246943,-0.278812,-0.517602
0.272949,0.0371094,0.958008,0.5,-1.375,-1.1875,-0.0235596,-0.137695,-0.252014,0.957581,0.0252628,-0.279197,-0.518228
0.272949,0.0332031,0.97168,0.0625,-1.625,-0.125,-0.0234985,-0.137939,-0.252014,0.95752,0.0255187,-0.279633,-0.518275
0.279785,0.0224609,0.969238,-0.5,-1.5625,1.0625,-0.0236816,-0.138184,-0.251831,0.95752,0.0252334,-0.280207,-0.517876
0.275879,0.0351562,0.96875,-1.1875,-0.125,2.1875,-0.0238037,-0.138123,-0.251526,0.957642,0.0248639,-0.280169,-0.5172
0.272949,0.0429688,0.966309,-0.3125,1.25,1.375,-0.0235596,-0.137878,-0.251343,0.957703,0.0251629,-0.279563,-0.516817
0.266113,0.0449219,0.963867,-0.4375,1.1875,0.3125,-0.0233154,-0.137634,-0.251343,0.957764,0.0255145,-0.278967,-0.516847
0.262695,0.0405273,0.958496,0.0625,0.25,-0.5625,-0.0232544,-0.137634,-0.251343,0.957764,0.0256359,-0.278935,-0.516862
0.266602,0.0424805,0.955078,-0.75,-1.375,-0.1875,-0.0231934,-0.137756,-0.251404,0.957703,0.0258434,-0.279132,-0.517017
0.273926,0.0336914,0.963379,-1.375,-2,-0.4375,-0.0233765,-0.138062,-0.251526,0.957642,0.0256812,-0.279824,-0.517291
0.275879,0.0317383,0.968262,-0.125,-0.6875,-0.875,-0.0233765,-0.138062,-0.251526,0.957642,0.0256812,-0.279824,-0.517291
0.274902,0.0253906,0.965332,0.3125,-0.5,-1.25,-0.0233154,-0.138123,-0.251709,0.957581,0.0258911,-0.279905,-0.517706
0.27832,0.0322266,0.962891,-0.25,-0.9375,-0.4375,-0.0233154,-0.138123,-0.251709,0.957581,0.0258911,-0.279905,-0.517706
0.279785,0.0205078,0.967773,-1.5625,-0.9375,1.25,-0.0236816,-0.138245,-0.251526,0.957642,0.0251725,-0.280349,-0.51726
0.281738,0.0297852,0.961426,-1.5625,-0.375,0.875,-0.0238647,-0.138306,-0.251404,0.957642,0.0248058,-0.28056,-0.516954
0.279297,0.0224609,0.964355,0.6875,1.4375,1.1875,-0.0237427,-0.138062,-0.251221,0.957703,0.0248619,-0.280018,-0.516541
0.26709,0.0410156,0.959961,1.6875,0.75,0.625,-0.0232544,-0.138,-0.251099,0.957764,0.0257627,-0.279653,-0.516402
0.263672,0.0439453,0.962891,-1.3125,-0.6875,1.8125,-0.0232544,-0.137939,-0.250854,0.957825,0.0256569,-0.279537,-0.515866
0.262207,0.0361328,0.974609,-2.375,-0.9375,1.3125,-0.0234985,-0.137817,-0.250732,0.957886,0.0250676,-0.279433,-0.515529
0.270508,0.0351562,0.958008,0.1875,0.875,-0.3125,-0.0234985,-0.137817,-0.250732,0.957886,0.0250676,-0.279433,-0.515529
0.262207,0.0439453,0.962402,1,0.6875,-0.75,-0.0230103,-0.137695,-0.250854,0.957886,0.0260087,-0.27894,-0.515895
0.260742,0.034668,0.970215,0.3125,-2.0625,-0.5625,-0.0228882,-0.137878,-0.250977,0.957825,0.0263878,-0.27923,-0.516217
0.266602,0.034668,0.964844,-2.6875,-2.5,0.0625,-0.0232544,-0.138062,-0.251038,0.957764,0.0257779,-0.279772,-0.516279
0.27832,0.043457,0.962891,-1.6875,-1.0625,-0.375,-0.0233765,-0.138245,-0.251099,0.957703,0.0256539,-0.280186,-0.516402
0.271484,0.0385742,0.965332,1.5,0.625,-2.5,-0.0228271,-0.138184,-0.251526,0.957642,0.0268398,-0.27978,-0.517458
0.270508,0.0380859,0.959473,-0.1875,-0.625,-2.6875,-0.0227051,-0.138306,-0.252014,0.95752,0.0272947,-0.279947,-0.518562
0.274414,0.0385742,0.958496,-1.375,-1.1875,-2.0625,-0.0227661,-0.138428,-0.25238,0.957397,0.0273504,-0.280204,-0.519345
0.283203,0.0253906,0.958984,-0.8125,-3.625,-2.1875,-0.0230103,-0.139099,-0.252747,0.957214,0.0273427,-0.281635,-0.52019
